uti,platform,original_id
nxm,ethereum,0x0d438f3b5175bebc262bf23753c1e53d03432bde
nxs,,nxs
oax,,oax
oax,ethereum,0x701c244b988a513c945973defa05de933b23fe1d
ocean,,ocean
ocean,ethereum,0x967da4048cd07ab37855c090aaf366e4ce1b9f48
og,,og
ogn,,ogn
ogn,ethereum,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26
om,,om
om,bsc,0xf78d2e7936f5fe18308a3b2951a93b6c4a41f5e2
om,ethereum,0x3593d125a4f7849a1b059e64f4517a86dd60c95d
om,polygon,0xc3ec80343d2bae2f8e680fdadde7c17e71e114ea
omg,omg,omg
one,,one
ong,,ong
ong,bsc,0x308bfaeaac8bdab6e9fc5ead8edcb5f95b0599d9
ont,,ont
ont,bsc,0xfd7b3a77848f1c2d67e05e54d78d174a0c850335
ont,ethereum,0xcb46c550539ac3db72dc7af7c89b11c306c727c2
ont,polygon,0xd4814770065f634003a8d8d70b4743e0c3f334ad
ooki,,ooki
ooki,ethereum,0x0de05f6447ab4d22c8827449ee4ba2d5c288379b
op,,op
orn,,orn
orn,bsc,0xe4ca1f75eca6214393fce1c1b316c237664eaa8e
orn,ethereum,0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a
