uti,platform,original_id,description,primary
realt-s-13116-kilbourne-ave-detroit-mi/13116-kilbourne,ethereum,0x08ad1f3a48be1d23c723a6cc8486b247f5de935a,"13116-kilbourne@RealT - 13116 Kilbourne Ave, Detroit, MI 48213",TRUE
realt-s-13116-kilbourne-ave-detroit-mi/13116-kilbourne,xdai,0x08ad1f3a48be1d23c723a6cc8486b247f5de935a,"13116-kilbourne@RealT - 13116 Kilbourne Ave, Detroit, MI 48213",
1337/1337,elite,1337,1337@Elite,TRUE
realt-s-13606-winthrop-st-detroit-mi/13606-winthrop,xdai,0x804f6baa10615c85e4b4a5bc4efe516d9f7a4365,"13606-winthrop@RealT - 13606 Winthrop St, Detroit, MI 48227",TRUE
realt-s-13606-winthrop-st-detroit-mi/13606-winthrop,ethereum,0x804f6baa10615c85e4b4a5bc4efe516d9f7a4365,"13606-winthrop@RealT - 13606 Winthrop St, Detroit, MI 48227",
realt-s-13991-warwick-st-detroit-mi/13991-warwick,ethereum,0x4e98493920b16dd6642e9d48497c8d0a49150f6f,"13991-warwick@RealT -13991 Warwick St, Detroit, MI, 48223",TRUE
realt-s-13991-warwick-st-detroit-mi/13991-warwick,xdai,0x4e98493920b16dd6642e9d48497c8d0a49150f6f,"13991-warwick@RealT -13991 Warwick St, Detroit, MI, 48223",
realt-s-14066-santa-rosa-dr-detroit-mi/14066-santa-rosa,xdai,0xe887dc4fcb5240c0c080aeab8870421d3ebd0b28,"14066-santa-rosa@RealT - 14066 Santa Rosa Dr, Detroit, MI 48238",TRUE
realt-s-14066-santa-rosa-dr-detroit-mi/14066-santa-rosa,ethereum,0xe887dc4fcb5240c0c080aeab8870421d3ebd0b28,"14066-santa-rosa@RealT - 14066 Santa Rosa Dr, Detroit, MI 48238",
realt-s-14078-carlisle-st-detroit-mi/14078-carlisle,ethereum,0x315699f1ba88383cff2f2f30fcad187adb2e4d72,"14078-carlisle@RealT - 14078 Carlisle St, Detroit, MI 48205",TRUE
realt-s-14078-carlisle-st-detroit-mi/14078-carlisle,xdai,0x315699f1ba88383cff2f2f30fcad187adb2e4d72,"14078-carlisle@RealT - 14078 Carlisle St, Detroit, MI 48205",
realt-s-14229-wilshire-dr-detroit-mi/14229-wilshire,xdai,0xb09850e2b93aa3aaa1476bf0c007cfc960e2de79,"14229-wilshire@RealT - 14229 Wilshire Dr, Detroit, MI 48213",TRUE
realt-s-14229-wilshire-dr-detroit-mi/14229-wilshire,ethereum,0xb09850e2b93aa3aaa1476bf0c007cfc960e2de79,"14229-wilshire@RealT - 14229 Wilshire Dr, Detroit, MI 48213",
realt-s-14231-strathmoor-st-detroit-mi/14231-strathmoor,xdai,0x9528a7402c0fe85b817aa6e106eafa03a02924c4,"14231-strathmoor@RealT - 14231 Strathmoor St, Detroit, MI 48227",TRUE
realt-s-14231-strathmoor-st-detroit-mi/14231-strathmoor,ethereum,0x9528a7402c0fe85b817aa6e106eafa03a02924c4,"14231-strathmoor@RealT - 14231 Strathmoor St, Detroit, MI 48227",
realt-s-14319-rosemary-st-detroit-mi/14319-rosemary,ethereum,0x41599149f1b52035392402f9e311b1edb0c9f699,"14319-rosemary@RealT - 14319 Rosemary St, Detroit, MI 48213",TRUE
realt-s-14319-rosemary-st-detroit-mi/14319-rosemary,xdai,0x41599149f1b52035392402f9e311b1edb0c9f699,"14319-rosemary@RealT - 14319 Rosemary St, Detroit, MI 48213",
realt-s-14494-chelsea-ave-detroit-mi/14494-chelsea,xdai,0x2adc1cfa726a45264a328d9d2e2c692ceac97458,"14494-chelsea@RealT - 14494 Chelsea Ave, Detroit, MI 48213",TRUE
realt-s-14494-chelsea-ave-detroit-mi/14494-chelsea,ethereum,0x2adc1cfa726a45264a328d9d2e2c692ceac97458,"14494-chelsea@RealT - 14494 Chelsea Ave, Detroit, MI 48213",
realt-s-14825-wilfried-st-detroit-mi/14825-wilfred,xdai,0x43fed9f9bf7deedcb314b432a8e38219dd62ce9e,"14825-wilfred@RealT - 14825 Wilfred St, Detroit, MI 48213",TRUE
realt-s-14825-wilfried-st-detroit-mi/14825-wilfred,ethereum,0x43fed9f9bf7deedcb314b432a8e38219dd62ce9e,"14825-wilfred@RealT - 14825 Wilfred St, Detroit, MI 48213",
realt-s-14882-troester-st-detroit-mi/14882-troester,xdai,0xff1b4d71ae12538d86777a954b136cf723fccefd,"14882-troester@RealT - 14882 Troester St, Detroit, MI 48205",TRUE
realt-s-14882-troester-st-detroit-mi/14882-troester,ethereum,0x31aa5fa895fd186fde12347a6fcaf540875b6434,"14882-troester@RealT - 14882 Troester St, Detroit, MI 48205",
realt-s-14918-joy-rd-detroit-mi/14918-joy,xdai,0x63a1849b47ef5913ccc5adb0e2708b11a4ba6972,"14918-joy@RealT - 14918 Joy Rd, Detroit, MI 48228",TRUE
realt-s-14918-joy-rd-detroit-mi/14918-joy,ethereum,0x63a1849b47ef5913ccc5adb0e2708b11a4ba6972,"14918-joy@RealT - 14918 Joy Rd, Detroit, MI 48228",
realt-s-15039-ward-ave-detroit-mi/15039-ward,ethereum,0x7e95b310724334ff74537dc08bfd3377d25e65ce,"15039-ward@RealT - 15039 Ward Ave, Detroit, MI 48227",TRUE
realt-s-15039-ward-ave-detroit-mi/15039-ward,xdai,0x7e95b310724334ff74537dc08bfd3377d25e65ce,"15039-ward@RealT - 15039 Ward Ave, Detroit, MI 48227",
realt-s-15048-freeland-st-detroit-mi/15048-freeland,ethereum,0xe3902e329ef2d3fd7666022c139d75bcc984b7a5,"15048-freeland@RealT - 15048 Freeland St, Detroit, MI, 48227",TRUE
realt-s-15048-freeland-st-detroit-mi/15048-freeland,xdai,0xe3902e329ef2d3fd7666022c139d75bcc984b7a5,"15048-freeland@RealT - 15048 Freeland St, Detroit, MI, 48227",
realt-s-15095-hartwell-st-detroit-mi/15095-hartwell,ethereum,0x9fef44fc4c571010bccd5b63e1cdc807d3b347bf,"15095-hartwell@RealT -15095 Hartwell St, Detroit, MI 48227",TRUE
realt-s-15095-hartwell-st-detroit-mi/15095-hartwell,xdai,0x9fef44fc4c571010bccd5b63e1cdc807d3b347bf,"15095-hartwell@RealT -15095 Hartwell St, Detroit, MI 48227",
realt-s-15350-greydale-st-detroit-mi/15350-greydale,xdai,0xda47bd33e8f5d17bb81b8752784bfb46c1c44b2a,"15350-greydale@RealT - 15350 Greydale St, Detroit, MI 48223",TRUE
realt-s-15350-greydale-st-detroit-mi/15350-greydale,ethereum,0xda47bd33e8f5d17bb81b8752784bfb46c1c44b2a,"15350-greydale@RealT - 15350 Greydale St, Detroit, MI 48223",
realt-s-15373-parkside-st-detroit-mi/15373-parkside,xdai,0x4d0da4e75d40bd7d9c4f7a292bf883bcdf38c45d,"15373-parkside@RealT - 15373 Parkside St, Detroit, MI 48238",TRUE
realt-s-15373-parkside-st-detroit-mi/15373-parkside,ethereum,0x4d0da4e75d40bd7d9c4f7a292bf883bcdf38c45d,"15373-parkside@RealT - 15373 Parkside St, Detroit, MI 48238",
realt-s-1542-s.ridgeway-ave-chicago-il/1542-s-ridgeway,xdai,0x69d1b42b20f3ded07bec322253d0140b04cbb6f5,"1542-s-ridgeway@RealT - 1542 S Ridgeway Ave, Chicago, IL 60623",TRUE
realt-s-1542-s.ridgeway-ave-chicago-il/1542-s-ridgeway,ethereum,0x69d1b42b20f3ded07bec322253d0140b04cbb6f5,"1542-s-ridgeway@RealT - 1542 S Ridgeway Ave, Chicago, IL 60623",
realt-s-15634-liberal-st-detroit-mi/15634-liberal,ethereum,0xa81f77e8988b28fb74243b907ace3c83353dc80a,"15634-liberal@RealT - 15634 Liberal St, Detroit, MI 48205",TRUE
realt-s-15634-liberal-st-detroit-mi/15634-liberal,xdai,0xa81f77e8988b28fb74243b907ace3c83353dc80a,"15634-liberal@RealT - 15634 Liberal St, Detroit, MI 48205",
realt-s-15753-hartwell-st-detroit-mi/15753-hartwell,xdai,0x8d1090df790ffafdaccda03015c05df3b4cc9c21,"15753-hartwell@RealT - 15753 Hartwell St, Detroit, MI 48227",TRUE
realt-s-15753-hartwell-st-detroit-mi/15753-hartwell,ethereum,0x8d1090df790ffafdaccda03015c05df3b4cc9c21,"15753-hartwell@RealT - 15753 Hartwell St, Detroit, MI 48227",
realt-s-15770-prest-st-detroit-mi/15770-prest,ethereum,0x175cbd54d38f58b530785e01471a2ec0d4596eb5,"15770-prest@RealT - 15770 Prest St, Detroit, MI 48227",TRUE
realt-s-15770-prest-st-detroit-mi/15770-prest,xdai,0x175cbd54d38f58b530785e01471a2ec0d4596eb5,"15770-prest@RealT - 15770 Prest St, Detroit, MI 48227",
realt-s-15777-ardmore-st-detroit-mi/15777-ardmore,ethereum,0xfe17c3c0b6f38cf3bd8ba872bee7a18ab16b43fb,"15777-ardmore@RealT - 15777 Ardmore St, Detroit, MI 48227",TRUE
realt-s-15777-ardmore-st-detroit-mi/15777-ardmore,xdai,0xfe17c3c0b6f38cf3bd8ba872bee7a18ab16b43fb,"15777-ardmore@RealT - 15777 Ardmore St, Detroit, MI 48227",
realt-s-15778-manor-st-detroit-mi/15778-manor,ethereum,0xf23b80216a10e6f0c0d3b5ad5c9349e9425cad40,"15778-manor@RealT - 15778 Manor St, Detroit, MI 48238",TRUE
realt-s-15778-manor-st-detroit-mi/15778-manor,xdai,0xf23b80216a10e6f0c0d3b5ad5c9349e9425cad40,"15778-manor@RealT - 15778 Manor St, Detroit, MI 48238",
realt-s-15784-monte-vista-st-detroit-mi/15784-monte-vista,ethereum,0x7f940b5509a22e81d29167581bdeea3fa5a0abee,"15784-monte-vista@RealT - 15784 Monte Vista St, Detroit, MI 48238",TRUE
realt-s-15784-monte-vista-st-detroit-mi/15784-monte-vista,xdai,0x7f940b5509a22e81d29167581bdeea3fa5a0abee,"15784-monte-vista@RealT - 15784 Monte Vista St, Detroit, MI 48238",
realt-s-15796-hartwell-st-detroit-mi/15796-hartwell,ethereum,0xb3d3c1bbcef737204aadb4fa6d90e974bc262197,"15796-hartwell@RealT - 15796 Hartwell St, Detroit, MI 48227",TRUE
realt-s-15796-hartwell-st-detroit-mi/15796-hartwell,xdai,0xb3d3c1bbcef737204aadb4fa6d90e974bc262197,"15796-hartwell@RealT - 15796 Hartwell St, Detroit, MI 48227",
realt-s-15860-hartwell-st-detroit-mi/15860-hartwell,xdai,0xa9f30c907321718e655b74463ca665b690b78894,"15860-hartwell@RealT - 15860 Hartwell St, Detroit, MI 48227",TRUE
realt-s-15860-hartwell-st-detroit-mi/15860-hartwell,ethereum,0xa9f30c907321718e655b74463ca665b690b78894,"15860-hartwell@RealT - 15860 Hartwell St, Detroit, MI 48227",
realt-s-1617-s.avers-ave-chicago-il/1617-s-avers,xdai,0xf4657ab08681214bcb1893aa8e9c7613459250ec,"1617-s-avers@RealT - 1617 S Avers Ave, Chicago, IL 60623",TRUE
realt-s-1617-s.avers-ave-chicago-il/1617-s-avers,ethereum,0xf4657ab08681214bcb1893aa8e9c7613459250ec,"1617-s-avers@RealT - 1617 S Avers Ave, Chicago, IL 60623",
realt-s-16200-fullerton-ave-detroit-mi/16200-fullerton,ethereum,0x021bb23a45e9fc824260435e670fc383b7b8cbbb,"16200-fullerton@RealT - 16200 Fullerton Ave, Detroit, MI 48227",TRUE
realt-s-16200-fullerton-ave-detroit-mi/16200-fullerton,xdai,0x021bb23a45e9fc824260435e670fc383b7b8cbbb,"16200-fullerton@RealT - 16200 Fullerton Ave, Detroit, MI 48227",
realt-s-17500-evergreen-rd-detroit-mi/17500-evergreen,xdai,0x1fdb4015fd5e031c5641752c1e03b973ad5ea168,"17500-evergreen@RealT - 17500 Evergreen Rd, Detroit, MI 48219",TRUE
realt-s-17500-evergreen-rd-detroit-mi/17500-evergreen,ethereum,0x1fdb4015fd5e031c5641752c1e03b973ad5ea168,"17500-evergreen@RealT - 17500 Evergreen Rd, Detroit, MI 48219",
realt-s-17809-charest-st-detroit-mi/17809-charest,xdai,0x31aa5fa895fd186fde12347a6fcaf540875b6434,"17809-charest@RealT - 17809 Charest St, Detroit, MI 48212",TRUE
realt-s-17809-charest-st-detroit-mi/17809-charest,ethereum,0xba07997f594a52df179620284b52b50a4e66227d,"17809-charest@RealT - 17809 Charest St, Detroit, MI 48212",
realt-s-17813-bradford-st-detroit-mi/17813-bradford,ethereum,0x499a6c19f5537dd6005e2b5c6e1263103f558ba4,"17813-bradford@RealT - 17813 Bradford St, Detroit, MI 48205",TRUE
realt-s-17813-bradford-st-detroit-mi/17813-bradford,xdai,0x499a6c19f5537dd6005e2b5c6e1263103f558ba4,"17813-bradford@RealT - 17813 Bradford St, Detroit, MI 48205",
realt-s-1815-s.avers-ave-chicago-il/1815-s-avers,xdai,0x8fcb39a25e639c8fbd28e8a018227d6570e02352,"1815-s-avers@RealT - 1815 S Avers Ave, Chicago, IL 60623",TRUE
realt-s-1815-s.avers-ave-chicago-il/1815-s-avers,ethereum,0x8fcb39a25e639c8fbd28e8a018227d6570e02352,"1815-s-avers@RealT - 1815 S Avers Ave, Chicago, IL 60623",
realt-s-18273-monte-vista-st-detroit-mi/18273-monte-vista,ethereum,0x9856c5ca15a4ac9c65aac090c38a9f39eb3b5eec,"18273-monte-vista@RealT - 18273 Monte Vista St, Detroit, MI 48221",TRUE
realt-s-18273-monte-vista-st-detroit-mi/18273-monte-vista,xdai,0x9856c5ca15a4ac9c65aac090c38a9f39eb3b5eec,"18273-monte-vista@RealT - 18273 Monte Vista St, Detroit, MI 48221",
realt-s-18276-appoline-st-detroit-mi/18276-appoline,ethereum,0x21f1af3e751317a2f7de7df31d5d092e6a907bde,"18276-appoline@RealT - 18276 Appoline St, Detroit, MI 48235",TRUE
realt-s-18276-appoline-st-detroit-mi/18276-appoline,xdai,0x21f1af3e751317a2f7de7df31d5d092e6a907bde,"18276-appoline@RealT - 18276 Appoline St, Detroit, MI 48235",
realt-s-18433-faust-ave-detroit-mi/18433-faust,ethereum,0x46f8a600337dec5cab03aa9b8f67f1d5b788ce28,"18433-faust@RealT - 18433 Faust Ave, Detroit, MI, 48219",TRUE
realt-s-18433-faust-ave-detroit-mi/18433-faust,xdai,0x46f8a600337dec5cab03aa9b8f67f1d5b788ce28,"18433-faust@RealT - 18433 Faust Ave, Detroit, MI, 48219",
realt-s-18466-fielding-st-detroit-mi/18466-fielding,ethereum,0x9a99f283e1f6c3b7f24901995624ef7b78e94471,"18466-fielding@RealT -18466 Fielding St, Detroit, MI 48219",TRUE
realt-s-18466-fielding-st-detroit-mi/18466-fielding,xdai,0x9a99f283e1f6c3b7f24901995624ef7b78e94471,"18466-fielding@RealT -18466 Fielding St, Detroit, MI 48219",
realt-s-18481-westphalia-st-detroit-mi/18481-westphalia,ethereum,0x75f06b482adbfb04b877d8ee683e2fcdf18ad153,"18481-westphalia@RealT - 18481 Westphalia St, Detroit, MI 48205",TRUE
realt-s-18481-westphalia-st-detroit-mi/18481-westphalia,xdai,0x75f06b482adbfb04b877d8ee683e2fcdf18ad153,"18481-westphalia@RealT - 18481 Westphalia St, Detroit, MI 48205",
realt-s-18776-sunderland-rd-detroit-mi/18776-sunderland,xdai,0xba07997f594a52df179620284b52b50a4e66227d,"18776-sunderland@RealT - 18776 Sunderland Rd, Detroit, MI 48219",TRUE
realt-s-18776-sunderland-rd-detroit-mi/18776-sunderland,ethereum,0x2c6f00a020b613c9419bb6c1ac220036dbe9e622,"18776-sunderland@RealT - 18776 Sunderland Rd, Detroit, MI 48219",
realt-s-18900-mansfield-st-detroit-mi/18900-mansfield,ethereum,0x9eb90ec3faafc22092c9b91559fddde538042093,"18900-mansfield@RealT - 18900 Mansfield St, Detroit, MI 48235",TRUE
realt-s-18900-mansfield-st-detroit-mi/18900-mansfield,xdai,0x9eb90ec3faafc22092c9b91559fddde538042093,"18900-mansfield@RealT - 18900 Mansfield St, Detroit, MI 48235",
realt-s-18983-alcoy-ave-detroit-mi/18983-alcoy,xdai,0xad91999f534f4075b00ba4231c018e57bdebb342,"18983-alcoy@RealT - 18983 Alcoy Ave, Detroit, MI 48205",TRUE
